MTS793|MPT|NLD|1|2|,|-|:|31|1|1|A

Data Acquisition						Time:	104,29639	s	11-3-2021 09:52:22
Time	311.51 Frame Force	311.51 Frame Displacement	Aux Input 8	Aux Input 9	Aux Input 7	Laser 50mm	Laser 50mm2	Laser 25mm
s	kN	mm	V	V	V	mm	mm	mm
15,477051	-0,57707411	-1,1487013	0,17859431	0,18262275	1,000061	1,1184468	1,1459577	3,1251907
15,574219	-0,48638377	-1,1508298	0,1779229	0,18228705	0,9987182	1,1142422	1,1438513	3,1209943
15,671387	-0,4772405	-1,1536981	0,17926572	0,18295845	1,0003967	1,1226516	1,1480644	3,1262398
15,768555	-0,6181919	-1,157451	0,17893001	0,18262275	0,99938959	1,1205492	1,1459577	3,1230924
15,865723	-0,53736907	-1,1604038	0,18161564	0,18228705	0,9990539	1,1373678	1,1438513	3,1220434
15,962891	-0,5619483	-1,1648433	0,18127994	0,18564409	1,0003967	1,1352656	1,1649166	3,1262398
16,060059	-0,62098867	-1,1674043	0,18161564	0,18530838	0,99838245	1,1373678	1,1628101	3,119945
16,157227	-0,62980384	-1,1699744	0,18195134	0,18564409	0,99972528	1,1394702	1,1649166	3,1241415
16,254395	-0,48021653	-1,1742132	0,18127994	0,18497267	0,99536115	1,1352656	1,1607035	3,1105037
16,351563	-0,65548563	-1,1773125	0,18564409	0,18631549	0,99771106	1,1625961	1,1691297	3,117847
16,44873	-0,57981533	-1,1804609	0,18396556	0,18463698	0,99569684	1,1520844	1,1585971	3,1115527
16,545898	-0,65339887	-1,1842805	0,18430127	0,18900113	0,99603254	1,1541867	1,1859821	3,1126018
16,643066	-0,55275488	-1,1874342	0,18497267	0,18933682	0,99771106	1,1583914	1,1880885	3,117847
16,740234	-0,59090912	-1,1906246	0,18497267	0,18900113	0,99536115	1,1583914	1,1859821	3,1105037
16,837402	-0,63903314	-1,1927098	0,18832971	0,18900113	0,99771106	1,1794147	1,1859821	3,117847
16,93457	-0,50896221	-1,1960953	0,1873226	0,18866542	0,99569684	1,1731077	1,1838756	3,1115527
17,031738	-0,58421844	-1,2008121	0,18698689	0,18866542	0,99301124	1,1710054	1,1838756	3,1031601
17,128906	-0,50473124	-1,2030206	0,18832971	0,19235815	0,99737537	1,1794147	1,2070475	3,1167979
17,226074	-0,62939507	-1,2069774	0,187994	0,19202246	0,99334693	1,1773124	1,2049409	3,1042092
17,323242	-0,58015954	-1,2104138	0,1873226	0,19168675	0,99401832	1,1731077	1,2028344	3,1063073
17,42041	-0,60641503	-1,21111	0,19000824	0,19101535	0,9916684	1,1899265	1,1986213	3,0989637
17,517578	-0,70368856	-1,2155387	0,19101535	0,19202246	0,99435401	1,1962336	1,2049409	3,1073563
17,614746	-0,60536087	-1,2190299	0,19034393	0,19135104	0,99301124	1,1920289	1,2007278	3,1031601
17,711914	-0,6244452	-1,2222148	0,19034393	0,19168675	0,99334693	1,1920289	1,2028344	3,1042092
17,809082	-0,56290388	-1,2245914	0,19067964	0,19470808	0,99401832	1,1941313	1,2217932	3,1063073
17,90625	-0,55887187	-1,2284408	0,19034393	0,19437237	0,99301124	1,1920289	1,2196866	3,1031601
18,003418	-0,615933	-1,2326485	0,19336526	0,19470808	0,99133271	1,2109499	1,2217932	3,0979147
18,100586	-0,71772438	-1,2367827	0,19370097	0,19470808	0,98931849	1,2130523	1,2217932	3,0916202
18,197754	-0,68731678	-1,2380071	0,19370097	0,19504379	0,99133271	1,2130523	1,2238998	3,0979147
18,294922	-0,58000892	-1,2416487	0,19336526	0,19806512	0,98998988	1,2109499	1,2428586	3,0937183
18,39209	-0,65027219	-1,2458701	0,19336526	0,19739372	0,99099702	1,2109499	1,2386456	3,0968657
18,489258	-0,7318964	-1,2476894	0,19638661	0,19772941	0,99133271	1,229871	1,2407521	3,0979147
18,586426	-0,70758432	-1,2523271	0,19638661	0,19739372	0,98998988	1,229871	1,2386456	3,0937183
18,683594	-0,69336921	-1,2551097	0,19705801	0,19806512	0,99133271	1,2340758	1,2428586	3,0979147
18,780762	-0,6797924	-1,2584373	0,19571519	0,19705801	0,98596144	1,2256663	1,236539	3,0811296
18,87793	-0,71392363	-1,2629284	0,19638661	0,20041505	0,98831135	1,229871	1,2576045	3,0884731
18,975098	-0,62971783	-1,2644938	0,19638661	0,20041505	0,98730427	1,229871	1,2576045	3,085326
19,072266	-0,70426404	-1,2688088	0,19907223	0,20007934	0,98730427	1,2466898	1,2554978	3,085326
19,169434	-0,70354515	-1,2698478	0,19940794	0,20108645	0,98864704	1,2487922	1,2618175	3,0895221
19,266602	-0,65525615	-1,2751563	0,19940794	0,20041505	0,98696858	1,2487922	1,2576045	3,0842769
19,36377	-0,69478911	-1,2772708	0,19873652	0,20041505	0,98797566	1,2445874	1,2576045	3,087424
